transaction_id,customer_id,merchant,category,purchase_amount,installment_count,installment_amount,purchase_date,final_due_date,status,credit_score,risk_score,late_fee,default_flag
T000066,C8892,Nike,Grocery,4093.48,4,1023.37,2023-11-09,2024-03-08,ongoing,409,42.17,0.0,0
T000067,C7863,Target,Fashion,1087.22,3,362.41,2023-11-25,2024-02-23,ongoing,848,1.09,0.0,0
T000068,C8916,Adidas,Home,2541.62,3,847.21,2023-04-25,2023-07-24,ongoing,825,3.84,0.0,0
T000069,C9529,Apple Store,Fashion,4207.5,12,350.62,2023-10-03,2024-09-27,ongoing,646,20.0,0.0,0
T000070,C1878,AliExpress,Beauty,3670.69,3,1223.56,2023-10-08,2024-01-06,ongoing,578,26.99,0.0,0
T000071,C5887,Walmart,Fashion,2722.63,4,680.66,2023-10-02,2024-01-30,late,778,8.61,33.29,0
T000072,C5859,AliExpress,Beauty,2961.98,3,987.33,2023-09-18,2023-12-17,late,410,45.1,46.15,0
T000073,C7331,AliExpress,Office,2554.09,12,212.84,2023-11-27,2024-11-21,paid,730,11.15,0.0,0
T000074,C9571,Adidas,Fashion,1505.3,6,250.88,2023-07-26,2024-01-22,ongoing,841,0.2,0.0,0
T000075,C9684,Walmart,Office,2835.98,3,945.33,2023-11-24,2024-02-22,ongoing,414,44.32,0.0,0
T000076,C8208,eBay,Grocery,3452.2,4,863.05,2023-07-30,2023-11-27,defaulted,389,46.35,0.0,1
T000077,C6276,Nike,Grocery,4369.78,6,728.3,2023-08-03,2024-01-30,defaulted,511,32.55,0.0,1
T000078,C3062,Amazon,Beauty,3190.55,18,177.25,2023-02-09,2024-08-02,late,849,0.0,37.81,0
T000079,C1064,AliExpress,Books,3811.58,3,1270.53,2023-01-26,2023-04-26,paid,838,2.8,0.0,0
T000080,C9006,Target,Grocery,821.36,12,68.45,2023-01-27,2024-01-22,ongoing,659,19.85,0.0,0
T000081,C3568,eBay,Automotive,2321.25,12,193.44,2023-07-09,2024-07-03,late,785,8.44,44.77,0
T000082,C6463,eBay,Fashion,71.42,12,5.95,2023-03-24,2024-03-18,ongoing,671,18.97,0.0,0
T000083,C3027,Apple Store,Automotive,1252.23,6,208.7,2023-06-19,2023-12-16,ongoing,514,35.37,0.0,0
T000084,C3695,AliExpress,Fashion,3639.15,6,606.52,2023-06-16,2023-12-13,paid,314,52.46,0.0,0
T000085,C6258,AliExpress,Electronics,4959.25,4,1239.81,2023-07-07,2023-11-04,ongoing,558,30.29,0.0,0
T000086,C6618,BestBuy,Office,518.41,6,86.4,2023-06-18,2023-12-15,ongoing,762,6.88,0.0,0
T000087,C7736,Adidas,Beauty,2022.43,4,505.61,2023-10-16,2024-02-13,ongoing,419,43.78,0.0,0
T000088,C1391,Apple Store,Health,4005.35,6,667.56,2023-08-17,2024-02-13,ongoing,427,42.18,0.0,0
T000089,C6892,eBay,Health,1040.08,4,260.02,2023-04-07,2023-08-05,late,822,2.19,36.81,0
T000090,C4561,eBay,Sports,2786.55,6,464.42,2023-01-16,2023-07-15,ongoing,624,24.05,0.0,0
T000091,C7184,BestBuy,Books,3672.03,12,306.0,2023-10-06,2024-09-30,ongoing,619,24.52,0.0,0
T000092,C4099,Amazon,Beauty,3089.53,3,1029.84,2023-05-15,2023-08-13,ongoing,805,2.59,0.0,0
T000093,C7278,IKEA,Grocery,960.42,12,80.04,2023-01-26,2024-01-21,ongoing,825,2.94,0.0,0
T000094,C9392,Target,Home,1793.04,4,448.26,2023-12-18,2024-04-16,ongoing,349,49.57,0.0,0
T000095,C4104,IKEA,Books,3924.36,12,327.03,2023-01-12,2024-01-07,paid,368,47.86,0.0,0
T000096,C8215,AliExpress,Books,2782.28,4,695.57,2023-03-13,2023-07-11,ongoing,690,17.33,0.0,0
T000097,C3454,Walmart,Home,51.02,4,12.76,2023-05-13,2023-09-10,paid,682,16.04,0.0,0
T000098,C9996,Apple Store,Office,3810.93,12,317.58,2023-04-16,2024-04-10,defaulted,315,55.27,0.0,1
T000099,C3731,AliExpress,Books,200.67,3,66.89,2023-08-08,2023-11-06,paid,738,9.92,0.0,0
T000100,C9154,Amazon,Electronics,3735.03,12,311.25,2023-06-26,2024-06-20,ongoing,431,42.55,0.0,0
T000101,C6056,IKEA,Books,1032.34,4,258.08,2023-10-09,2024-02-06,ongoing,547,30.99,0.0,0
T000102,C9110,AliExpress,Sports,4791.42,4,1197.86,2023-05-13,2023-09-10,late,572,26.81,37.93,0
T000103,C4840,Target,Automotive,1855.51,4,463.88,2023-01-22,2023-05-22,ongoing,648,19.5,0.0,0
T000104,C2028,eBay,Health,1651.48,6,275.25,2023-09-26,2024-03-24,late,783,8.04,38.61,0
T000105,C8385,Adidas,Office,765.72,4,191.43,2023-06-10,2023-10-08,late,849,1.15,20.53,0
T000106,C1502,Nike,Beauty,1545.38,3,515.13,2023-04-17,2023-07-16,late,656,18.72,28.5,0
T000107,C7910,AliExpress,Grocery,4386.34,3,1462.11,2023-10-06,2024-01-04,late,617,23.44,21.2,0
T000108,C7938,Amazon,Electronics,4981.76,3,1660.59,2023-12-19,2024-03-18,paid,347,48.55,0.0,0
T000109,C5488,Apple Store,Office,1857.34,18,103.19,2023-08-23,2025-02-13,ongoing,309,52.93,0.0,0
T000110,C1206,Walmart,Automotive,2256.84,18,125.38,2023-01-18,2024-07-11,defaulted,532,31.74,0.0,1
T000111,C6134,Target,Sports,3617.3,4,904.32,2023-08-30,2023-12-28,ongoing,335,49.84,0.0,0
T000112,C6977,BestBuy,Automotive,4433.82,6,738.97,2023-04-27,2023-10-24,ongoing,712,15.17,0.0,0
T000113,C8721,Amazon,Beauty,2975.4,4,743.85,2023-10-13,2024-02-10,paid,761,9.77,0.0,0
T000114,C8035,IKEA,Home,1972.84,6,328.81,2023-10-09,2024-04-06,paid,303,56.47,0.0,0
T000115,C2484,Adidas,Grocery,2077.79,12,173.15,2023-05-24,2024-05-18,late,343,51.47,28.19,0
T000116,C8858,IKEA,Home,3485.7,12,290.47,2023-07-24,2024-07-18,paid,554,31.36,0.0,0
T000117,C1863,eBay,Fashion,41.01,4,10.25,2023-02-08,2023-06-08,ongoing,413,43.92,0.0,0
T000118,C3790,Adidas,Sports,3107.46,6,517.91,2023-06-03,2023-11-30,defaulted,696,15.8,0.0,1
T000119,C8408,IKEA,Grocery,1793.58,3,597.86,2023-06-25,2023-09-23,late,473,39.61,20.72,0
T000120,C9755,Apple Store,Beauty,3976.13,18,220.9,2023-08-29,2025-02-19,paid,554,30.17,0.0,0
T000121,C6116,IKEA,Office,487.63,3,162.54,2023-05-14,2023-08-12,ongoing,765,6.62,0.0,0
T000122,C7019,Target,Health,2951.31,6,491.88,2023-02-15,2023-08-14,ongoing,576,28.3,0.0,0
T000123,C2757,Target,Grocery,2417.84,6,402.97,2023-02-19,2023-08-18,paid,763,10.32,0.0,0
T000124,C8574,Nike,Office,3220.57,6,536.76,2023-06-15,2023-12-12,ongoing,801,6.08,0.0,0
T000125,C7374,IKEA,Office,347.65,3,115.88,2023-04-16,2023-07-15,ongoing,740,11.34,0.0,0
T000126,C7892,Apple Store,Fashion,2910.42,12,242.54,2023-08-04,2024-07-29,paid,368,48.89,0.0,0
T000127,C2678,Apple Store,Electronics,2818.39,3,939.46,2023-05-26,2023-08-24,ongoing,808,6.16,0.0,0
T000128,C4242,AliExpress,Sports,2814.28,6,469.05,2023-03-13,2023-09-09,ongoing,625,20.86,0.0,0
T000129,C5636,Walmart,Sports,3027.35,3,1009.12,2023-11-26,2024-02-24,ongoing,366,49.07,0.0,0
T000130,C2059,Adidas,Fashion,3390.43,4,847.61,2023-09-30,2024-01-28,ongoing,603,23.83,0.0,0
T000131,C7668,Amazon,Home,4029.82,4,1007.46,2023-09-04,2024-01-02,paid,783,7.26,0.0,0
T000132,C4157,BestBuy,Home,1367.36,4,341.84,2023-07-05,2023-11-02,ongoing,847,0.73,0.0,0
T000133,C6915,Adidas,Beauty,4129.62,3,1376.54,2023-03-11,2023-06-09,ongoing,716,12.01,0.0,0
T000134,C3693,Adidas,Electronics,2503.82,3,834.61,2023-05-30,2023-08-28,paid,458,38.03,0.0,0
T000135,C4627,eBay,Office,408.36,4,102.09,2023-09-03,2024-01-01,defaulted,448,40.69,0.0,1
T000136,C6450,Adidas,Books,316.29,6,52.72,2023-09-19,2024-03-17,paid,326,50.91,0.0,0
T000137,C2663,eBay,Books,1687.84,12,140.65,2023-01-26,2024-01-21,ongoing,547,29.36,0.0,0
T000138,C6592,AliExpress,Home,3929.86,3,1309.95,2023-05-20,2023-08-18,ongoing,400,46.34,0.0,0
T000139,C8392,Walmart,Fashion,3545.71,4,886.43,2023-04-09,2023-08-07,late,395,44.81,28.82,0
T000140,C2306,Apple Store,Electronics,3948.36,3,1316.12,2023-10-05,2024-01-03,ongoing,683,16.65,0.0,0
T000141,C7776,Nike,Automotive,2598.41,3,866.14,2023-02-20,2023-05-21,paid,581,28.66,0.0,0
T000142,C6864,Apple Store,Health,2214.99,6,369.16,2023-05-31,2023-11-27,ongoing,621,21.81,0.0,0
T000143,C8526,IKEA,Electronics,758.58,6,126.43,2023-04-14,2023-10-11,ongoing,695,15.06,0.0,0
T000144,C9901,BestBuy,Beauty,1657.76,3,552.59,2023-03-30,2023-06-28,late,577,27.73,28.23,0
T000145,C6575,Walmart,Office,2184.25,3,728.08,2023-05-21,2023-08-19,paid,828,3.22,0.0,0
T000146,C6530,Walmart,Office,465.79,3,155.26,2023-08-01,2023-10-30,paid,562,30.41,0.0,0
T000147,C5413,AliExpress,Sports,1122.54,12,93.54,2023-08-21,2024-08-15,ongoing,592,27.46,0.0,0
T000148,C4748,BestBuy,Grocery,3001.17,18,166.73,2023-07-02,2024-12-23,ongoing,593,26.81,0.0,0
T000149,C1663,IKEA,Grocery,3684.92,3,1228.31,2023-09-08,2023-12-07,paid,694,14.51,0.0,0
T000150,C2998,IKEA,Sports,4991.78,3,1663.93,2023-01-09,2023-04-09,paid,812,1.9,0.0,0
T000151,C8994,Nike,Beauty,4667.24,12,388.94,2023-03-20,2024-03-14,ongoing,479,36.64,0.0,0
T000152,C2495,Amazon,Office,3221.76,12,268.48,2023-02-21,2024-02-16,ongoing,534,30.17,0.0,0
T000153,C4304,Apple Store,Grocery,2120.71,4,530.18,2023-09-26,2024-01-24,ongoing,636,22.24,0.0,0
T000154,C4763,Adidas,Grocery,3189.98,3,1063.33,2023-08-14,2023-11-12,defaulted,307,54.94,0.0,1
T000155,C6232,BestBuy,Health,3933.62,3,1311.21,2023-02-20,2023-05-21,paid,742,8.98,0.0,0
T000156,C2853,IKEA,Grocery,613.72,6,102.29,2023-07-05,2024-01-01,late,838,2.55,26.71,0
T000157,C7585,IKEA,Office,2064.28,4,516.07,2023-02-03,2023-06-03,ongoing,390,44.99,0.0,0
T000158,C2291,Amazon,Beauty,4203.02,3,1401.01,2023-10-18,2024-01-16,defaulted,571,27.63,0.0,1
T000159,C4581,Walmart,Automotive,1934.57,6,322.43,2023-08-18,2024-02-14,ongoing,304,55.27,0.0,0
T000160,C8554,IKEA,Home,2870.06,3,956.69,2023-05-11,2023-08-09,ongoing,518,32.92,0.0,0
T000161,C8280,Nike,Electronics,2949.15,6,491.52,2023-04-30,2023-10-27,late,417,43.07,31.19,0
T000162,C2636,IKEA,Fashion,942.77,4,235.69,2023-11-22,2024-03-21,ongoing,414,41.86,0.0,0
T000163,C4696,IKEA,Books,1827.12,3,609.04,2023-09-04,2023-12-03,ongoing,562,28.41,0.0,0
T000164,C1698,Amazon,Electronics,1689.19,6,281.53,2023-07-11,2024-01-07,ongoing,605,25.56,0.0,0
T000165,C5737,Nike,Health,155.33,4,38.83,2023-11-19,2024-03-18,ongoing,721,14.56,0.0,0
T000166,C1854,Target,Grocery,145.35,18,8.07,2023-07-29,2025-01-19,paid,506,34.05,0.0,0
T000167,C9164,eBay,Beauty,4162.69,4,1040.67,2023-04-13,2023-08-11,paid,602,24.49,0.0,0
T000168,C6855,Amazon,Automotive,1383.53,3,461.18,2023-11-25,2024-02-23,paid,411,44.71,0.0,0
T000169,C8392,Walmart,Books,2602.44,6,433.74,2023-05-13,2023-11-09,paid,716,15.17,0.0,0
T000170,C7528,Walmart,Sports,1511.16,3,503.72,2023-11-19,2024-02-17,paid,584,25.67,0.0,0
T000171,C6249,BestBuy,Automotive,4704.88,12,392.07,2023-05-19,2024-05-13,ongoing,484,36.36,0.0,0
T000172,C6172,Amazon,Home,1315.0,4,328.75,2023-05-01,2023-08-29,ongoing,520,34.18,0.0,0
T000173,C2707,AliExpress,Grocery,2162.54,4,540.64,2023-04-04,2023-08-02,defaulted,743,11.14,0.0,1
T000174,C6791,Amazon,Fashion,4366.83,3,1455.61,2023-05-09,2023-08-07,ongoing,416,41.84,0.0,0
T000175,C6535,Target,Books,4213.62,4,1053.4,2023-04-01,2023-07-30,paid,369,48.61,0.0,0
T000176,C5931,IKEA,Grocery,950.85,12,79.24,2023-04-02,2024-03-27,ongoing,369,46.85,0.0,0
T000177,C4510,Amazon,Books,4018.15,12,334.85,2023-03-04,2024-02-27,paid,726,12.44,0.0,0
T000178,C1202,AliExpress,Fashion,2304.48,3,768.16,2023-01-29,2023-04-29,paid,742,10.92,0.0,0
T000179,C5218,Adidas,Home,2427.77,3,809.26,2023-07-29,2023-10-27,ongoing,436,42.9,0.0,0
T000180,C9958,AliExpress,Sports,689.06,12,57.42,2023-01-12,2024-01-07,ongoing,803,4.55,0.0,0
T000181,C5389,Walmart,Office,425.99,12,35.5,2023-11-29,2024-11-23,paid,430,41.12,0.0,0
T000182,C3327,Target,Beauty,3646.5,3,1215.5,2023-10-24,2024-01-22,ongoing,517,32.22,0.0,0
T000183,C9004,IKEA,Automotive,2494.89,4,623.72,2023-05-10,2023-09-07,ongoing,470,39.5,0.0,0
T000184,C3931,AliExpress,Electronics,2198.33,4,549.58,2023-10-20,2024-02-17,paid,774,6.28,0.0,0
T000185,C8777,Target,Sports,3654.3,12,304.53,2023-06-22,2024-06-16,ongoing,428,41.9,0.0,0
T000186,C1197,Adidas,Sports,3833.43,3,1277.81,2023-07-27,2023-10-25,late,356,48.15,35.75,0
T000187,C8125,Nike,Health,815.57,3,271.86,2023-01-24,2023-04-24,ongoing,480,38.09,0.0,0
T000188,C2930,Nike,Books,3060.87,6,510.14,2023-04-09,2023-10-06,ongoing,545,30.4,0.0,0
T000189,C7287,Nike,Books,698.39,3,232.8,2023-12-22,2024-03-21,paid,443,40.1,0.0,0
T000190,C9800,Adidas,Health,3763.09,4,940.77,2023-05-19,2023-09-16,ongoing,350,49.44,0.0,0
T000191,C5282,IKEA,Automotive,3293.35,4,823.34,2023-11-10,2024-03-09,ongoing,667,19.71,0.0,0
T000192,C3511,eBay,Books,4784.16,4,1196.04,2023-06-23,2023-10-21,ongoing,758,9.42,0.0,0
T000193,C1659,eBay,Office,368.07,4,92.02,2023-01-29,2023-05-29,ongoing,517,34.17,0.0,0
T000194,C3811,Target,Beauty,308.85,4,77.21,2023-05-23,2023-09-20,ongoing,556,30.99,0.0,0
T000195,C8098,Nike,Electronics,1428.88,3,476.29,2023-11-12,2024-02-10,ongoing,455,41.11,0.0,0
T000196,C7546,Walmart,Electronics,1326.99,6,221.16,2023-12-17,2024-06-14,ongoing,741,10.21,0.0,0
T000197,C2986,IKEA,Fashion,1253.72,12,104.48,2023-02-11,2024-02-06,ongoing,324,54.41,0.0,0
T000198,C9338,eBay,Fashion,4533.62,6,755.6,2023-10-26,2024-04-23,paid,835,0.0,0.0,0
T000199,C3911,Amazon,Beauty,1266.49,3,422.16,2023-07-27,2023-10-25,paid,359,48.61,0.0,0
T000200,C2734,BestBuy,Grocery,1377.95,3,459.32,2023-11-26,2024-02-24,ongoing,766,9.98,0.0,0
T000201,C2843,Apple Store,Grocery,3803.01,3,1267.67,2023-07-11,2023-10-09,paid,733,10.8,0.0,0
T000202,C9680,Adidas,Sports,2262.46,4,565.62,2023-06-09,2023-10-07,late,365,47.59,16.47,0
T000203,C3976,Adidas,Sports,3889.14,4,972.28,2023-03-05,2023-07-03,paid,405,43.71,0.0,0
T000204,C2959,eBay,Health,350.2,6,58.37,2023-08-31,2024-02-27,paid,395,45.95,0.0,0
T000205,C6759,Adidas,Home,2450.67,3,816.89,2023-09-15,2023-12-14,ongoing,467,38.05,0.0,0
T000206,C7694,Nike,Fashion,192.23,3,64.08,2023-06-01,2023-08-30,late,341,51.81,47.2,0
T000207,C3385,Apple Store,Home,336.7,4,84.18,2023-08-03,2023-12-01,ongoing,403,46.28,0.0,0
T000208,C5736,Walmart,Books,4534.53,6,755.76,2023-11-18,2024-05-16,ongoing,503,35.4,0.0,0
T000209,C2802,Amazon,Electronics,717.75,3,239.25,2023-06-15,2023-09-13,paid,819,1.92,0.0,0
T000210,C9155,Target,Sports,2673.79,6,445.63,2023-01-31,2023-07-30,ongoing,581,28.63,0.0,0
T000211,C9120,Apple Store,Grocery,2070.2,3,690.07,2023-08-20,2023-11-18,ongoing,342,49.86,0.0,0
T000212,C7616,Walmart,Beauty,1753.03,12,146.09,2023-10-09,2024-10-03,paid,409,42.7,0.0,0
T000213,C6534,Adidas,Fashion,4501.67,12,375.14,2023-01-29,2024-01-24,paid,509,32.46,0.0,0
T000214,C5061,eBay,Electronics,133.57,3,44.52,2023-07-14,2023-10-12,paid,348,50.45,0.0,0
T000215,C1262,AliExpress,Automotive,3327.35,3,1109.12,2023-11-30,2024-02-28,late,414,42.06,8.37,0
T000216,C7287,Target,Beauty,4817.89,4,1204.47,2023-09-13,2024-01-11,ongoing,454,38.16,0.0,0
T000217,C9815,IKEA,Home,2811.84,3,937.28,2023-10-08,2024-01-06,ongoing,802,4.0,0.0,0
T000218,C3049,BestBuy,Office,4685.69,6,780.95,2023-10-31,2024-04-28,paid,370,47.13,0.0,0
T000219,C6423,eBay,Home,284.98,12,23.75,2023-11-17,2024-11-11,ongoing,818,3.62,0.0,0
T000220,C5548,Adidas,Fashion,2108.5,6,351.42,2023-11-19,2024-05-17,paid,635,22.77,0.0,0
T000221,C4108,eBay,Beauty,1319.29,12,109.94,2023-12-12,2024-12-06,ongoing,366,49.45,0.0,0
T000222,C8158,Nike,Office,3660.83,4,915.21,2023-10-21,2024-02-18,ongoing,792,4.85,0.0,0
T000223,C8400,Adidas,Books,4906.95,3,1635.65,2023-03-28,2023-06-26,ongoing,512,32.78,0.0,0
T000224,C4170,eBay,Automotive,1301.24,6,216.87,2023-05-29,2023-11-25,paid,480,38.86,0.0,0
T000225,C3255,Apple Store,Home,3279.52,4,819.88,2023-09-06,2024-01-04,ongoing,547,28.33,0.0,0
T000226,C2154,Apple Store,Automotive,1010.54,6,168.42,2023-11-17,2024-05-15,ongoing,513,35.22,0.0,0
T000227,C5499,Amazon,Beauty,2837.52,3,945.84,2023-10-10,2024-01-08,ongoing,658,18.0,0.0,0
T000228,C7295,Amazon,Electronics,2333.06,3,777.69,2023-12-28,2024-03-27,ongoing,548,31.99,0.0,0
T000229,C7197,Target,Beauty,4860.73,18,270.04,2023-07-17,2025-01-07,ongoing,815,2.87,0.0,0
T000230,C2648,eBay,Grocery,3052.42,3,1017.47,2023-02-13,2023-05-14,ongoing,387,46.06,0.0,0
T000231,C6539,Amazon,Office,1763.79,18,97.99,2023-12-22,2025-06-14,ongoing,475,38.33,0.0,0
T000232,C5199,Nike,Electronics,592.63,18,32.92,2023-01-28,2024-07-21,ongoing,725,12.85,0.0,0
T000233,C9445,Walmart,Home,777.45,6,129.58,2023-01-17,2023-07-16,ongoing,380,46.27,0.0,0
T000234,C3557,Amazon,Books,1145.95,6,190.99,2023-05-07,2023-11-03,paid,437,41.52,0.0,0
T000235,C6592,eBay,Automotive,1273.56,6,212.26,2023-06-17,2023-12-14,late,732,12.72,41.7,0
T000236,C1098,Apple Store,Beauty,4256.81,12,354.73,2023-09-01,2024-08-26,ongoing,769,6.27,0.0,0
T000237,C3200,BestBuy,Health,2817.08,3,939.03,2023-03-17,2023-06-15,ongoing,649,18.14,0.0,0
T000238,C3961,AliExpress,Fashion,2628.87,4,657.22,2023-08-19,2023-12-17,ongoing,425,42.33,0.0,0
